elapsed	ops_cumul
116.0	53065.09999999999
117.0	53112.6
118.0	53163.299999999996
119.0	53209.3
120.0	53258.5
121.0	53308.2
122.0	53352.0
123.0	53399.1
124.0	53442.9
125.0	53484.9
126.0	53527.3
127.0	53567.4
128.0	53614.99999999999
129.0	53662.2
130.0	53705.399999999994
131.0	53750.399999999994
132.0	53793.3
133.0	53834.100000000006
134.0	53879.49999999999
135.0	53921.200000000004
136.0	53965.899999999994
137.0	54010.0
138.0	54052.0
139.0	54088.5
140.0	54123.7
141.0	54165.2
142.0	54202.5
143.0	54236.8
144.0	54270.200000000004
145.0	54296.799999999996
146.0	54329.700000000004
147.0	54358.2
148.0	54386.7
149.0	54417.99999999999
150.0	54447.100000000006
151.0	54473.7
152.0	54499.79999999999
153.0	54527.4
154.0	54551.59999999999
155.0	54576.5
156.0	54603.5
157.0	54628.59999999999
158.0	54652.2
159.0	54676.5
160.0	54702.4
161.0	54726.799999999996
162.0	54752.0
163.0	54773.6
164.0	54795.5
165.0	54811.899999999994
166.0	54831.200000000004
167.0	54853.40000000001
168.0	54873.2
169.0	54892.4
170.0	54910.0
171.0	54926.4
172.0	54952.0
173.0	54977.8
174.0	55004.80000000001
175.0	55026.7
176.0	55051.7
177.0	55076.09999999999
178.0	55102.0
179.0	55127.2
180.0	55150.0
181.0	55171.299999999996
182.0	55192.4
183.0	55216.0
184.0	55235.7
185.0	55255.59999999999
186.0	55275.5
187.0	55295.9
188.0	55315.0
189.0	55333.399999999994
190.0	55353.0
191.0	55370.90000000001
192.0	55388.0
193.0	55406.3
194.0	55426.40000000001
195.0	55442.9
196.0	55459.7
197.0	55474.7
198.0	55490.6
199.0	55506.50000000001
200.0	55523.6
201.0	55540.0
202.0	55555.5
203.0	55573.7
204.0	55590.79999999999
205.0	55603.00000000001
206.0	55616.30000000001
207.0	55628.8
208.0	55639.5
209.0	55652.6
210.0	55664.9
211.0	55675.9
212.0	55687.1
213.0	55700.5
214.0	55712.5
215.0	55721.7
216.0	55728.0
217.0	55736.1
218.0	55742.5
219.0	55749.3
220.0	55756.49999999999
221.0	55765.1
222.0	55772.1
223.0	55780.5
224.0	55789.100000000006
225.0	55795.4
226.0	55805.1
227.0	55812.600000000006
228.0	55821.49999999999
229.0	55829.49999999999
230.0	55837.0
231.0	55845.3
232.0	55853.600000000006
233.0	55859.50000000001
234.0	55868.299999999996
235.0	55874.40000000001
236.0	55883.200000000004
237.0	55895.6
238.0	55911.9
239.0	55926.6
240.0	55943.700000000004
241.0	55960.0
242.0	55976.399999999994
243.0	55991.8
244.0	56007.1
245.0	56021.799999999996
246.0	56035.3
247.0	56050.100000000006
248.0	56065.6
249.0	56079.399999999994
250.0	56094.9
251.0	56109.2
252.0	56123.90000000001
253.0	56137.8
254.0	56150.1
255.0	56163.79999999999
256.0	56178.9
257.0	56192.3
258.0	56204.899999999994
259.0	56218.899999999994
260.0	56230.799999999996
261.0	56241.299999999996
262.0	56252.6
263.0	56264.1
264.0	56273.80000000001
265.0	56283.399999999994
266.0	56293.39999999999
267.0	56304.8
268.0	56315.3
269.0	56325.4
270.0	56334.9
271.0	56344.399999999994
272.0	56354.4
273.0	56363.799999999996
274.0	56373.600000000006
275.0	56382.200000000004
276.0	56392.399999999994
277.0	56401.0
278.0	56410.49999999999
279.0	56419.6
280.0	56428.80000000001
281.0	56436.7
282.0	56444.799999999996
283.0	56451.7
284.0	56458.4
285.0	56465.899999999994
286.0	56474.40000000001
287.0	56481.9
288.0	56487.0
289.0	56492.700000000004
290.0	56496.799999999996
291.0	56502.49999999999
292.0	56506.6
293.0	56511.1
294.0	56516.399999999994
295.0	56519.5
296.0	56523.4
297.0	56529.2
298.0	56533.7
299.0	56538.0
300.0	169700.6
