elapsed	ops_cumul
97.0	2055675.5
98.0	2058632.3
99.0	2061845.1999999997
100.0	2064760.1
101.0	2068070.7
102.0	2071065.9000000001
103.0	2074242.8
104.0	2077692.9000000001
105.0	2080118.7000000002
106.0	2083314.5999999999
107.0	2086712.3
108.0	2089882.4
109.0	2092910.7
110.0	2095996.9999999995
111.0	2098750.9
112.0	2101621.7
113.0	2104744.5
114.0	2107490.9
115.0	2110015.9999999995
116.0	2112283.0
117.0	2114589.5
118.0	2117408.8000000003
119.0	2119881.6999999997
120.0	2122102.4
121.0	2124632.3
122.0	2127266.0
123.0	2130266.1
124.0	2132948.4000000004
125.0	2135196.7
126.0	2137755.0
127.0	2140285.7
128.0	2142605.4
129.0	2145012.1999999997
130.0	2147425.8000000003
131.0	2149846.6
132.0	2152281.9
133.0	2154270.4
134.0	2156362.2
135.0	2158501.8000000003
136.0	2160680.4
137.0	2162884.6
138.0	2164912.1
139.0	2166677.5999999996
140.0	2168589.9000000004
141.0	2170589.0
142.0	2172501.6
143.0	2174572.3
144.0	2176370.7
145.0	2178045.0
146.0	2179909.1999999997
147.0	2181637.6
148.0	2183134.3000000003
149.0	2184820.3000000003
150.0	2186420.9
151.0	2187936.1
152.0	2189581.5
153.0	2191366.3
154.0	2193112.3000000003
155.0	2194611.3
156.0	2196187.0
157.0	2197627.9
158.0	2199138.1999999997
159.0	2200879.9
160.0	2202282.3
161.0	2203709.4000000004
162.0	2205118.6
163.0	2206519.0
164.0	2207827.4999999995
165.0	2209213.6
166.0	2210591.6
167.0	2211674.2
168.0	2212968.1000000006
169.0	2214318.0999999996
170.0	2215674.1
171.0	2216906.2
172.0	2218273.3
173.0	2219597.7
174.0	2220769.1999999997
175.0	2221872.1
176.0	2222864.3
177.0	2223956.5
178.0	2224876.6
179.0	2226210.5
180.0	2227530.3000000003
181.0	2228594.6999999997
182.0	2229700.9
183.0	2230829.5000000005
184.0	2231972.9
185.0	2233071.6999999997
186.0	2234140.5
187.0	2235336.4
188.0	2236108.8
189.0	2237293.3
190.0	2238494.7
191.0	2239584.2
192.0	2240739.1
193.0	2242025.5
194.0	2243355.9
195.0	2244508.9000000004
196.0	2245689.5
197.0	2246557.9
198.0	2247684.3000000003
199.0	2248709.4
200.0	2249810.6
201.0	2250909.6
202.0	2251980.1
203.0	2253016.1
204.0	2254212.8
205.0	2255173.7
206.0	2256351.4
207.0	2257329.6
208.0	2258383.8
209.0	2259562.1
210.0	2260550.8000000003
211.0	2261594.3
212.0	2262646.7
213.0	2263712.8
214.0	2264600.6
215.0	2265535.7
216.0	2266570.0
217.0	2267548.2
218.0	2268531.2
219.0	2269559.0
220.0	2270427.0
221.0	2271280.0999999996
222.0	2272190.4000000004
223.0	2273167.5
224.0	2274077.2
225.0	2275030.9
226.0	2275838.0999999996
227.0	2276670.1
228.0	2277627.7
229.0	2278601.4
230.0	2279269.7
231.0	2280034.2
232.0	2280834.5
233.0	2281634.5
234.0	2282498.0999999996
235.0	2283327.1
236.0	2283941.6
237.0	2284690.5
238.0	2285307.8
239.0	2285980.8
240.0	2286562.8
241.0	2287343.8000000003
242.0	2287951.8000000003
243.0	2288614.6
244.0	2289463.1
245.0	2290225.0
246.0	2291020.9999999995
247.0	2291624.3
248.0	2292216.3
249.0	2292959.3
250.0	2293560.5
251.0	2294174.8
252.0	2294746.1
253.0	2295457.6
254.0	2296106.5
255.0	2296664.7
256.0	2297250.5999999996
257.0	2297900.5999999996
258.0	2298495.9000000004
259.0	2298990.9
260.0	2299570.0
261.0	2300151.5
262.0	2300751.0
263.0	2301345.9
264.0	2301920.1999999997
265.0	2302484.4000000004
266.0	2302919.8000000003
267.0	2303482.3
268.0	2304020.4000000004
269.0	2304374.6999999997
270.0	2304821.8000000003
271.0	2305334.8000000003
272.0	2305925.7
273.0	2306357.1
274.0	2306912.6
275.0	2307383.7
276.0	2307882.7
277.0	2308410.6
278.0	2308949.1
279.0	2309409.4
280.0	2309844.2
281.0	2310285.1
282.0	2310800.9000000004
283.0	2311221.8000000003
284.0	2311736.5
285.0	2311934.1
286.0	2312352.0999999996
287.0	2312919.8
288.0	2313470.9
289.0	2313931.5
290.0	2314412.0
291.0	2314884.2
292.0	2315429.6
293.0	2315965.6999999997
294.0	2316495.6
295.0	2316977.6
296.0	2317343.1
297.0	2317956.3
298.0	2318358.2
299.0	2318847.2
300.0	6958260.3999999985
