concurrency	ops/sec(cum)	p50(ms)	p99(ms)	read_tp	read_p50	read_p99	write_tp	write_p50	write_p99
14.0	161349.50000000003	0.4005714285714286	2.2844285714285713	154091.15000000002	0.40285714285714286	2.2844285714285713	7257.349999999999	0.3982857142857143	2.2252857142857145
14	161349.50000000003	0.4005714285714286	2.2844285714285713	154091.15000000002	0.40285714285714286	2.2844285714285713	7257.349999999999	0.3982857142857143	2.2252857142857145
15.0	148885.23333333334	0.4809285714285714	2.5917142857142856	142068.65	0.4857142857142857	2.5917142857142856	6815.583333333334	0.47614285714285715	2.5095714285714283
15.0	148885.23333333334	0.4809285714285714	2.5917142857142856	142068.65	0.4857142857142857	2.5917142857142856	6815.583333333334	0.47614285714285715	2.5095714285714283
15	148885.23333333334	0.4809285714285714	2.5917142857142856	142068.65	0.4857142857142857	2.5917142857142856	6815.583333333334	0.47614285714285715	2.5095714285714283
16.0	140946.25	0.5510714285714287	2.944714285714286	134370.38333333333	0.5571428571428572	2.944714285714286	6574.866666666667	0.545	2.827
16.0	140946.25	0.5510714285714287	2.944714285714286	134370.38333333333	0.5571428571428572	2.944714285714286	6574.866666666667	0.545	2.827
16.0	140946.25	0.5510714285714287	2.944714285714286	134370.38333333333	0.5571428571428572	2.944714285714286	6574.866666666667	0.545	2.827
16	140946.25	0.5510714285714287	2.944714285714286	134370.38333333333	0.5571428571428572	2.944714285714286	6574.866666666667	0.545	2.827
19.0	130211.06666666667	0.7438571428571429	3.789	124260.34999999999	0.7537142857142857	3.789	5949.716666666667	0.734	3.597857142857143
19.0	130211.06666666667	0.7438571428571429	3.789	124260.34999999999	0.7537142857142857	3.789	5949.716666666667	0.734	3.597857142857143
19	130211.06666666667	0.7438571428571429	3.789	124260.34999999999	0.7537142857142857	3.789	5949.716666666667	0.734	3.597857142857143
23.0	118800.35	1.0072142857142856	4.880285714285714	113388.33333333334	1.026857142857143	4.880285714285714	5411.016666666666	0.9875714285714285	4.547
23.0	118800.35	1.0072142857142856	4.880285714285714	113388.33333333334	1.026857142857143	4.880285714285714	5411.016666666666	0.9875714285714285	4.547
23	118800.35	1.0072142857142856	4.880285714285714	113388.33333333334	1.026857142857143	4.880285714285714	5411.016666666666	0.9875714285714285	4.547
24.0	118700.3	1.0592857142857142	5.049714285714286	113206.58333333333	1.0807142857142857	5.049714285714286	5492.716666666667	1.0378571428571428	4.66
24.0	118700.3	1.0592857142857142	5.049714285714286	113206.58333333333	1.0807142857142857	5.049714285714286	5492.716666666667	1.0378571428571428	4.66
24.0	118700.3	1.0592857142857142	5.049714285714286	113206.58333333333	1.0807142857142857	5.049714285714286	5492.716666666667	1.0378571428571428	4.66
24	118700.3	1.0592857142857142	5.049714285714286	113206.58333333333	1.0807142857142857	5.049714285714286	5492.716666666667	1.0378571428571428	4.66
32.0	113006.09999999999	1.5979285714285714	6.155285714285714	107817.73333333334	1.6287142857142856	6.155285714285714	5187.366666666667	1.5671428571428572	5.643428571428571
32.0	113006.09999999999	1.5979285714285714	6.155285714285714	107817.73333333334	1.6287142857142856	6.155285714285714	5187.366666666667	1.5671428571428572	5.643428571428571
32.0	113006.09999999999	1.5979285714285714	6.155285714285714	107817.73333333334	1.6287142857142856	6.155285714285714	5187.366666666667	1.5671428571428572	5.643428571428571
32	113006.09999999999	1.5979285714285714	6.155285714285714	107817.73333333334	1.6287142857142856	6.155285714285714	5187.366666666667	1.5671428571428572	5.643428571428571
40.0	113094.68333333333	2.115285714285714	6.757714285714286	107936.38333333333	2.1478571428571427	6.757714285714286	5157.3	2.0827142857142857	6.2744285714285715
40.0	113094.68333333333	2.115285714285714	6.757714285714286	107936.38333333333	2.1478571428571427	6.757714285714286	5157.3	2.0827142857142857	6.2744285714285715
40.0	113094.68333333333	2.115285714285714	6.757714285714286	107936.38333333333	2.1478571428571427	6.757714285714286	5157.3	2.0827142857142857	6.2744285714285715
40	113094.68333333333	2.115285714285714	6.757714285714286	107936.38333333333	2.1478571428571427	6.757714285714286	5157.3	2.0827142857142857	6.2744285714285715
48.0	112892.61666666667	2.6540714285714286	7.462428571428571	107768.91666666667	2.689714285714286	7.462428571428571	5122.7	2.6184285714285713	6.964857142857142
48.0	112892.61666666667	2.6540714285714286	7.462428571428571	107768.91666666667	2.689714285714286	7.462428571428571	5122.7	2.6184285714285713	6.964857142857142
48.0	112892.61666666667	2.6540714285714286	7.462428571428571	107768.91666666667	2.689714285714286	7.462428571428571	5122.7	2.6184285714285713	6.964857142857142
48	112892.61666666667	2.6540714285714286	7.462428571428571	107768.91666666667	2.689714285714286	7.462428571428571	5122.7	2.6184285714285713	6.964857142857142
56.0	111122.08333333334	3.259714285714286	8.169714285714285	106099.86666666665	3.3025714285714285	8.169714285714285	5021.216666666667	3.2168571428571426	7.691857142857143
56.0	111122.08333333334	3.259714285714286	8.169714285714285	106099.86666666665	3.3025714285714285	8.169714285714285	5021.216666666667	3.2168571428571426	7.691857142857143
56.0	111122.08333333334	3.259714285714286	8.169714285714285	106099.86666666665	3.3025714285714285	8.169714285714285	5021.216666666667	3.2168571428571426	7.691857142857143
56	111122.08333333334	3.259714285714286	8.169714285714285	106099.86666666665	3.3025714285714285	8.169714285714285	5021.216666666667	3.2168571428571426	7.691857142857143
